"is_active","notes","stage","channel","email_category","last_sent_template","last_sent_date","id","created_date","updated_date","created_by_id","created_by","is_sample"
"true","","Deposit Requested","Both","Reminder","","","69c4030211839935151b59b8","2026-03-25T15:45:06.784000","2026-03-25T15:45:06.784000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","","No Survey Response – Follow-Up 1","Both","Survey","","","69c4019d47a7bfa99f59f840","2026-03-25T15:39:09.143000","2026-03-25T15:39:09.143000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","","Deposit Requested","Both","Post-Event","","","69b7b3782cc11f138ca4aa04","2026-03-16T07:38:32.862000","2026-03-16T07:38:32.862000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","Proposal follow-up","Program Planning Discussion","Both","Proposal","","","698fb712b5f699a7cc9320a0","2026-02-13T23:43:14.287000","2026-03-25T15:41:13.763000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","Re-engagement campaign","Lost","Both","Re-Engagement","","","698fb712b5f699a7cc9320a1","2026-02-13T23:43:14.287000","2026-02-13T23:50:29.734000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","Check-in with inactive leads","Fall-Off Radar","Both","Re-Engagement","","","698fb712b5f699a7cc9320a2","2026-02-13T23:43:14.287000","2026-02-13T23:50:29.734000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","Initial follow-up after categorization","No Answer – 1st Email Sent","Both","Lead Follow-Up","","","698fb712b5f699a7cc93209c","2026-02-13T23:43:14.287000","2026-03-18T16:52:44.644000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","Survey email for event preferences","Survey Sent","Both","Survey","","","698fb712b5f699a7cc93209d","2026-02-13T23:43:14.287000","2026-02-13T23:50:29.734000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","Meeting confirmation","Meeting Scheduled","Both","Lead Follow-Up","","","698fb712b5f699a7cc93209f","2026-02-13T23:43:14.287000","2026-02-13T23:50:29.734000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
"true","Reminder for pending responses","Waiting 24hr Response","Both","Reminder","","","698fb712b5f699a7cc93209e","2026-02-13T23:43:14.287000","2026-02-13T23:50:29.734000","698cc111bc3a023371f4ad30","info@mangiadc.com","false"
