"author_name","system_action","event_id","attachment_urls","parent_message_id","is_system_message","task_id","author_id","body","mentioned_users","system_metadata","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Monica Lacuata","completed","","[]","","true","69ab073c64babec4258c856f","699c69418e04ef1c530e70c1","Task marked as done by Monica Lacuata","[]","{}","6a468cc7ecef762aed9893a8","2026-07-02T16:07:35.677000","2026-07-02T16:07:35.677000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","acknowledged","","[]","","true","69ab073c64babec4258c856f","699c69418e04ef1c530e70c1","Task acknowledged by Monica Lacuata","[]","{}","6a468cc3507df328c01a9b87","2026-07-02T16:07:31.474000","2026-07-02T16:07:31.474000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","completed","","[]","","true","69ab073cc9d37828ce58ac4b","699c69418e04ef1c530e70c1","Task marked as done by Monica Lacuata","[]","{}","6a468cc1bc943f857daa235c","2026-07-02T16:07:29.946000","2026-07-02T16:07:29.946000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","acknowledged","","[]","","true","69ab073cc9d37828ce58ac4b","699c69418e04ef1c530e70c1","Task acknowledged by Monica Lacuata","[]","{}","6a468cbfd7ac222733855683","2026-07-02T16:07:27.010000","2026-07-02T16:07:27.010000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","completed","","[]","","true","69ab073fef54a5fa0869a772","699c69418e04ef1c530e70c1","Task marked as done by Monica Lacuata","[]","{}","6a468ca6e9b526e059a563f9","2026-07-02T16:07:02.407000","2026-07-02T16:07:02.407000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","acknowledged","","[]","","true","69ab073fef54a5fa0869a772","699c69418e04ef1c530e70c1","Task acknowledged by Monica Lacuata","[]","{}","6a468ca3735a4a8635a64d18","2026-07-02T16:06:59.670000","2026-07-02T16:06:59.670000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","completed","","[]","","true","69ab074060abdd9b8e7c71c8","699c69418e04ef1c530e70c1","Task marked as done by Monica Lacuata","[]","{}","6a468ca060e22b5e396a7cfd","2026-07-02T16:06:56.551000","2026-07-02T16:06:56.551000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","acknowledged","","[]","","true","69ab074060abdd9b8e7c71c8","699c69418e04ef1c530e70c1","Task acknowledged by Monica Lacuata","[]","{}","6a468c9dcf56f380c876f2c7","2026-07-02T16:06:53.183000","2026-07-02T16:06:53.183000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","completed","","[]","","true","69ab073c303e803f3cb1fc0a","699c69418e04ef1c530e70c1","Task marked as done by Monica Lacuata","[]","{}","69f1ec021876ecb3c54cdc83","2026-04-29T11:31:14.607000","2026-04-29T11:31:14.607000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
"Monica Lacuata","completed","","[]","","true","69ab073d36f4275d06ea030f","699c69418e04ef1c530e70c1","Task marked as done by Monica Lacuata","[]","{}","69f1ebf906da2ef5c71e9e65","2026-04-29T11:31:05.230000","2026-04-29T11:31:05.230000","service_bdf5b7dc-5664-42ca-ab1f-67b3db250555","service+bdf5b7dc-5664-42ca-ab1f-67b3db250555@no-reply.base44.com","false"
